Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-09 08:46:31')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.49048181204125285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5111174434423447e-05, model_test_time: 0.49046670086681843
***4_th repeat
Total test time: 0.48682167031802237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4093006029725075e-05, model_test_time: 0.48680757731199265
Total test time: 0.48587259580381215 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3609882444143295e-05, model_test_time: 0.485858985921368
Total test time: 0.4498259511310607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3592187315225601e-05, model_test_time: 0.4498123589437455
Total test time: 0.48968858923763037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4407094568014145e-05, model_test_time: 0.48967418214306235
Total test time: 0.48755195015110075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4036893844604492e-05, model_test_time: 0.48753791325725615
Total test time: 0.4547851209063083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4035962522029877e-05, model_test_time: 0.45477108494378626
Total test time: 0.5269872436765581 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.64687205851078e-06, model_test_time: 0.5269775968044996
Total test time: 0.4594234472606331 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.741168469190598e-06, model_test_time: 0.4594137060921639
Total test time: 0.531920765992254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3462034985423088e-05, model_test_time: 0.5319073039572686
Total test time: 0.5313319473061711 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3778218999505043e-05, model_test_time: 0.5313181690871716
Total test time: 0.4508275967091322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3833865523338318e-05, model_test_time: 0.45081376284360886
Total test time: 0.488376135006547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0387739166617393e-05, model_test_time: 0.48836574726738036
Total test time: 0.4729379715863615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3574259355664253e-05, model_test_time: 0.47292439732700586
Total test time: 0.4808249098714441 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0203104466199875e-05, model_test_time: 0.4808147067669779
Total test time: 0.5335238629486412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3924902305006981e-05, model_test_time: 0.5335099380463362
Total test time: 0.4719247901812196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3464130461215973e-05, model_test_time: 0.47191132605075836
Total test time: 0.5232168440707028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0017072781920433e-05, model_test_time: 0.5232068269979209
Total test time: 0.4857476211618632 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.361197791993618e-05, model_test_time: 0.48573400918394327
Total test time: 0.5315457212273031 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3592187315225601e-05, model_test_time: 0.5315321290399879
Total test time: 0.4699372020550072 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0278075933456421e-05, model_test_time: 0.46992692397907376
speedup/out/models_res/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None/CTU1-OCSVM(rbf).dat
