SFRIG1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.7838+/-0.0277,train_time: 0.00000+/-0.00000,test_time: 0.00333+/-0.00015), => aucs:0.7448555555555558-0.8091666666666665-0.8114111111111111-0.796838888888889-0.756511111111111, train_times:0-0-0-0-0, test_times:0.003600812237709761-0.0033285927027463915-0.0031758570112288-0.0033168115653097628-0.0032378166913986208, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.261-143.261-143.261-143.357,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.9110+/-0.0064,train_time: 0.00000+/-0.00000,test_time: 0.00490+/-0.00114), => aucs:0.9153444444444444-0.913211111111111-0.9125888888888888-0.9155000000000001-0.8984055555555555, train_times:0-0-0-0-0, test_times:0.003567639272660017-0.004813879821449518-0.004348069056868553-0.004756222665309906-0.007006961293518544, n_comp: -, -, space_sizes: |model_spaces: 143.369-143.417-143.369-143.465-143.369,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.9281+/-0.0082,train_time: 0.00000+/-0.00000,test_time: 0.00283+/-0.00023), => aucs:0.927811111111111-0.9388888888888889-0.9268555555555554-0.932588888888889-0.9141333333333332, train_times:0-0-0-0-0, test_times:0.0028288709931075574-0.002762351278215647-0.003107168432325125-0.002440120279788971-0.002988753840327263, n_comp: -, -, space_sizes: |model_spaces: 26.571-26.571-28.059-25.083-27.563,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.9123+/-0.0152,train_time: 0.00000+/-0.00000,test_time: 0.00238+/-0.00022), => aucs:0.9138444444444442-0.9267555555555556-0.9167555555555555-0.9211666666666668-0.8831222222222224, train_times:0-0-0-0-0, test_times:0.0023681097663939-0.0028037440963089464-0.0021915358491241934-0.0023181325756013393-0.0022098688408732415, n_comp: -, -, space_sizes: |model_spaces: 24.596-26.583-24.1-24.596-24.1,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
SFRIG1_2020|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
SFRIG1_2020|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.9288+/-0.0051,train_time: 0.00000+/-0.00000,test_time: 0.00286+/-0.00004), => aucs:0.9331222222222223-0.9309333333333332-0.9323222222222223-0.9288222222222224-0.9190111111111111, train_times:0-0-0-0-0, test_times:0.002885050419718027-0.002863569464534521-0.0028840046375989913-0.002870441135019064-0.0027744208462536337, n_comp: -, -, space_sizes: |model_spaces: 26.819-27.067-27.067-27.067-26.571,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.9256+/-0.0055,train_time: 0.00000+/-0.00000,test_time: 0.00279+/-0.00003), => aucs:0.9245333333333331-0.9174666666666665-0.9228555555555552-0.9293666666666665-0.9335777777777776, train_times:0-0-0-0-0, test_times:0.0027939853258430957-0.002849874272942543-0.002740097977221012-0.002793397940695286-0.002789959218353033, n_comp: -, -, space_sizes: |model_spaces: 26.583-27.079-26.583-26.831-26.831,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
AECHO1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-51), iat_size(auc: 0.9130+/-0.0014,train_time: 0.00000+/-0.00000,test_time: 0.04734+/-0.00009), => aucs:0.9132666666666666-0.9154277777777781-0.9118277777777777-0.9116166666666666-0.9129833333333333, train_times:0-0-0-0-0, test_times:0.04744475176557898-0.0473607818596065-0.04718045555055141-0.04737564688548446-0.047324417252093555, n_comp: -, -, space_sizes: |model_spaces: 1043.914-1045.162-1043.914-1044.33-1045.578,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
AECHO1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-51), iat_size(auc: 0.7222+/-0.0108,train_time: 0.00000+/-0.00000,test_time: 0.00410+/-0.00104), => aucs:0.7396611111111111-0.7282722222222221-0.7108944444444447-0.7117833333333333-0.720577777777778, train_times:0-0-0-0-0, test_times:0.0035895390436053278-0.006093103997409343-0.0041209458373487-0.0034131688065826894-0.003261612355709076, n_comp: -, -, space_sizes: |model_spaces: 165.661-165.661-165.661-165.661-165.661,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
AECHO1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-51), iat_size(auc: 0.7825+/-0.0143,train_time: 0.00000+/-0.00000,test_time: 0.00351+/-0.00022), => aucs:0.7849555555555556-0.7545666666666668-0.7923444444444443-0.7881111111111109-0.79255, train_times:0-0-0-0-0, test_times:0.003565112967044115-0.003330356441438198-0.0033572507090866566-0.0033995296806097032-0.0039111821912229065, n_comp: -, -, space_sizes: |model_spaces: 165.673-165.673-165.673-165.673-165.769,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
AECHO1_2020|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-51), iat_size(auc: 0.9678+/-0.0066,train_time: 0.00000+/-0.00000,test_time: 0.00293+/-0.00032), => aucs:0.9700888888888889-0.9763277777777774-0.969322222222222-0.9559722222222222-0.9674611111111109, train_times:0-0-0-0-0, test_times:0.002910035103559494-0.003132372722029686-0.0031136623583734035-0.002329717855900526-0.0031849157996475695, n_comp: -, -, space_sizes: |model_spaces: 48.971-49.963-49.963-46.488-50.459,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
AECHO1_2020|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-51), iat_size(auc: 0.9717+/-0.0081,train_time: 0.00000+/-0.00000,test_time: 0.00285+/-0.00028), => aucs:0.9752666666666666-0.9692666666666666-0.9797888888888892-0.9571-0.9768777777777776, train_times:0-0-0-0-0, test_times:0.00301040792837739-0.0025317750871181486-0.0031627451069653036-0.0030552146025002004-0.0025044611655175688, n_comp: -, -, space_sizes: |model_spaces: 49.479-47.495-50.471-49.975-47.495,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
AECHO1_2020|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
AECHO1_2020|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
AECHO1_2020|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-51), iat_size(auc: 0.9496+/-0.0178,train_time: 0.00000+/-0.00000,test_time: 0.00273+/-0.00012), => aucs:0.9380499999999999-0.9499944444444447-0.9483-0.9819666666666663-0.9297055555555556, train_times:0-0-0-0-0, test_times:0.0028242956846952437-0.002719995379447937-0.002586295176297426-0.0029046342708170412-0.0026318776421248914, n_comp: -, -, space_sizes: |model_spaces: 48.475-48.227-47.731-49.219-47.979,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
