UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,3.06 +/- 0.21,0.00 +/- 0.00,2.19 +/- 0.09,0.55 +/- 0.10,353.21 +/- 0.17
MACCDC1,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,3.51 +/- 0.54,0.00 +/- 0.00,2.87 +/- 0.22,0.85 +/- 0.00,129.12 +/- 0.10
SFRIG1_2021,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,4.00 +/- 0.70,0.00 +/- 0.00,2.05 +/- 0.15,0.93 +/- 0.01,129.66 +/- 0.13
SFRIG1_2021,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KDE,tuning_False,76.92 +/- 11.85,nan +/- nan,0.12 +/- 0.01,0.94 +/- 0.00,0.47 +/- 0.00
SFRIG1_2021,IAT+SIZE,header_False,KDE,tuning_True,126.30 +/- 21.95,nan +/- nan,0.24 +/- 0.02,0.99 +/- 0.00,0.47 +/- 0.00
SFRIG1_2021,IAT+SIZE,header_False,GMM(full),tuning_False,26.67 +/- 4.11,nan +/- nan,82.95 +/- 6.26,0.94 +/- 0.05,54.09 +/- 0.04
SFRIG1_2021,IAT+SIZE,header_False,GMM(full),tuning_True,4.31 +/- 0.75,nan +/- nan,6.41 +/- 0.48,0.97 +/- 0.02,3.95 +/- 0.00
SFRIG1_2021,IAT+SIZE,header_False,GMM(diag),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,GMM(diag),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KJL-GMM(diag),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,0,0,0,0,0
