Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-01 08:18:15')
***MACCDC1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4713689226191491 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.666639819741249e-06, model_test_time: 0.47136225597932935
Total test time: 0.47347986698150635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.40797258913517e-06, model_test_time: 0.4734724590089172
Total test time: 0.47175373369827867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.277812644839287e-06, model_test_time: 0.4717474558856338
Total test time: 0.5032395822927356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.018214091658592e-06, model_test_time: 0.5032325640786439
Total test time: 0.47345769102685153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.445217877626419e-06, model_test_time: 0.4734512458089739
Total test time: 0.4717160367872566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.961869075894356e-06, model_test_time: 0.4717090749181807
Total test time: 0.4374763621017337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.2962062656879425e-06, model_test_time: 0.437470065895468
Total test time: 0.5051663159392774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.12996518611908e-06, model_test_time: 0.5051601859740913
Total test time: 0.4715137919411063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4820051193237305e-06, model_test_time: 0.471507309935987
Total test time: 0.4749627497512847 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.888993084430695e-06, model_test_time: 0.4749558607582003
Total test time: 0.44165129004977643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.425892934203148e-06, model_test_time: 0.44164486415684223
Total test time: 0.49771953583694994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.00005330145359e-06, model_test_time: 0.4977125357836485
speedup/out/models_res/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None/MACCDC1-OCSVM(rbf).dat
